Наименование,Категория,Единиц в мешке,Вес мешка,Цена за ед.,Цена мешка,Цена за 1 кг
Amazon Микс Спорт сток AMZ2,сток,~64 вещи,14.2 кг,~412₽,26341₽,26.5€
Amazon Микс Спорт сток AMZ2,сток,~68 вещей,14 кг,~382₽,25970₽,26.5€
Amazon Микс Спорт сток AMZ2,сток,~64 вещи,14.1 кг,~409₽,26156₽,26.5€
Bestseller микс осень-зима сток BEST W,сток,~29 вещей,11.8 кг,~626₽,18131₽,21.95€
Bestseller микс осень-зима сток BEST W,сток,~29 вещей,11.4 кг,~604₽,17516₽,21.95€
C&A микс взрослый осень-зима,сток,~77 вещей,32.3 кг,~397₽,30524₽,13.5€
C&A микс взрослый осень-зима сток,сток,~72 вещи,24.4 кг,~321₽,23058₽,13.5€
C&A микс взрослый осень-зима сток,сток,~73 вещи,23.4 кг,~303₽,22113₽,13.5€
CRANE+CRIVIT SPORT Микс,сток,~52 вещи,9.3 кг,~157₽,8138₽,12.5€
CRANE+CRIVIT SPORT Микс,сток,~48 вещей,8.8 кг,~161₽,7700₽,12.5€
CRANE+CRIVIT SPORT Микс,сток,~49 вещей,9.1 кг,~163₽,7963₽,12.5€
CRANE+CRIVIT SPORT Микс,сток,~57 вещей,8.8 кг,~136₽,7700₽,12.5€
CRANE+CRIVIT SPORT Микс,сток,,10 кг,,8750₽,12.5€
CRANE+CRIVIT SPORT Микс,сток,,10 кг,,8750₽,12.5€
CRANE+CRIVIT SPORT Микс,сток,~55 вещей,8.65 кг,~142₽,7785₽,12.5€
CRANE+CRIVIT SPORT Микс,сток,~63 вещи,8.8 кг,~126₽,7920₽,12.5€
CRANE+CRIVIT SPORT Микс,сток,~51 вещь,8.8 кг,~151₽,7700₽,12.5€
MEN MIX мужской сток осень-зима,сток,~40 вещей,12.65 кг,~376₽,15009₽,16.95€
MEN MIX мужской сток осень-зима,сток,~35 вещей,12.5 кг,~424₽,14831₽,16.95€
MEN MIX мужской сток осень-зима,сток,~37 вещей,12.65 кг,~406₽,15009₽,16.95€
MEN MIX мужской сток осень-зима,сток,~37 вещей,12.5 кг,~401₽,14831₽,16.95€
Top Shop микс сток,сток,~35 вещей,15.6 кг,~738₽,25799₽,23.63€
Top Shop микс сток,сток,~35 вещей,15.9 кг,~752₽,26295₽,23.63€
"Офис мен микс (костюмы, рубашки, галстуки)",сток,~24 вещи,6.4 кг,~261₽,6250₽,13.95€
